"product_id","product_name_lenght","product_description_lenght","product_photos_qty","product_weight_g","product_length_cm","product_height_cm","product_width_cm","product_category_name"
"adbcdfcfd5b8479f90579e4dd02df2aa",49,1145,1,2700,20,13,25,"agro_industry_and_commerce"
"163a503e8aa4c48bfd077f416e4341d4",40,628,1,2650,52,13,32,"agro_industry_and_commerce"
"018ca97302e4293050cc41413194bb19",45,266,1,2467,28,26,24,"agro_industry_and_commerce"
"b5aebb467d9a92162173cbd234e00d99",60,1843,3,550,16,16,16,"agro_industry_and_commerce"
"a2f25a7e9c4eea1e3c2949d03c688048",42,588,1,10650,26,80,26,"agro_industry_and_commerce"
"cd5df6a3db7a3d064a55afd08289d762",52,860,1,2150,30,25,15,"agro_industry_and_commerce"
"51d1db0b0ed8fee9994a5bae549a6160",41,288,1,5047,58,44,28,"agro_industry_and_commerce"
"c183fd5d2abf05873fa6e1014ed9e06c",53,1461,1,1500,22,16,24,"agro_industry_and_commerce"
"ffd63ee42a5c8cc5a15a1c8e2aa50011",58,464,1,5200,99,10,50,"agro_industry_and_commerce"
"16d096faa27582985f849f08370cf1ed",50,1153,1,4050,11,18,10,"agro_industry_and_commerce"
"b8faf829f47ba1f35f169da4acbdb88d",50,936,6,6950,36,30,33,"agro_industry_and_commerce"
"613d093272cb8f74f25a01e430155a6a",39,326,1,1050,38,41,39,"agro_industry_and_commerce"
"a95e101cee281e7cd36dfef5f80fabfe",48,866,6,9700,47,70,27,"agro_industry_and_commerce"
"52510930c23a1b9c337a0a9306a3645c",54,790,4,3000,50,20,30,"agro_industry_and_commerce"
"f3c179e260e0eeffbe02340259404cb1",50,2653,1,1200,25,10,16,"agro_industry_and_commerce"
"5f0a49e6e539d4e186eeddfd69db9863",40,160,1,200,24,13,13,"agro_industry_and_commerce"
"6ff1fc9209c7854704a4f75c9fac41b4",59,489,2,233,16,5,13,"agro_industry_and_commerce"
"137f49a66ce117db74acbaf30c047701",54,862,2,7050,99,5,80,"agro_industry_and_commerce"
"3bebad3cf2c8d1a8d3ce97174643e054",49,903,8,500,17,11,11,"agro_industry_and_commerce"
"1db1301d6b2401401a26dd1aabcb809e",60,864,1,4600,22,22,22,"agro_industry_and_commerce"
"d5dbb4d9ecbbf2e312169e4c8f1b57f0",41,934,1,5350,30,30,20,"agro_industry_and_commerce"
"fbec390384fbb8d53d97c29a5bbb26ae",38,145,1,1640,37,34,31,"agro_industry_and_commerce"
